date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2026-02-16,2026,OPERATIVE COSTS H-LOG - Expendable Materials (NYD),5000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Governments,Logistics,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,4000,CHF,0.8,377582,7F-04696.33.02,2026-02-16,2026-02-17
2026-02-16,2026,OPERATIVE COSTS H-LOG - Infrastructure and Equipment (NYD),4625,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Governments,Logistics,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,3700,CHF,0.8,377583,7F-04696.33.01,2026-02-16,2026-02-17
2026-02-16,2026,"OPERATIVE COSTS H-LOG - Waste Management, Recycling (NYD)",3750,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Governments,Logistics,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,3000,CHF,0.8,377584,7F-04696.33.05,2026-02-16,2026-02-17
2026-02-16,2026,DEPLOYMENT MATERIAL SPECIALIZED GROUPS - ICT - Maintenance (SMK),3125,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Governments,Logistics,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,2500,CHF,0.8,377585,7F-04698.33.12,2026-02-16,2026-02-17
2026-02-16,2026,DEPLOYMENT MATERIAL SPECIALIZED GROUPS - RELIEF GOODS - Expendable (BEQ),1875,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Governments,Logistics,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,1500,CHF,0.8,377586,7F-04698.33.16,2026-02-16,2026-02-17
2026-02-16,2026,OPERATIVE COSTS H-LOG - Transports and Relocations (BEQ),938,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Governments,Logistics,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,750,CHF,0.799574,377587,7F-04696.33.04,2026-02-16,2026-02-17
2026-02-16,2026,OPERATIVE COSTS H-LOG - Facility Management (HMC),625,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Governments,Logistics,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,500,CHF,0.8,377588,7F-04696.33.07,2026-02-16,2026-02-17
2026-02-16,2026,"JPOs4UN Programme - Volées 2026-2031 - JPO 3, Org, Function, Place 2026-2029",200000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,United Nations Children's Fund,Multilateral Organizations,Protection,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,160000,CHF,0.8,377605,7F-01035.12.03,2026-02-16,2026-02-17
2026-02-16,2025,WFP Flexible Contrib 25-26 (BRB 16.4.25) - WFP Contrib. MF 2025-26 (BRB 16.4.25),9500000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,World Food Programme,Multilateral Organizations,Food Security,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-01-01,,7600000,CHF,0.8,377675,7F-11434.02.02,2026-02-16,2026-02-18
2026-02-16,2025,WFP Flexible Contrib 25-26 (BRB 16.4.25) - WFP Contrib. IRA 2025-26 (BRB 16.4.25),8750000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,World Food Programme,Multilateral Organizations,Food Security,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-01-01,,7000000,CHF,0.8,377676,7F-11434.02.01,2026-02-16,2026-02-18
2026-02-16,2025,WFP Localization Policy 2025,625000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,World Food Programme,Multilateral Organizations,Food Security,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-12-01,,500000,CHF,0.8,377677,7F-11525.01.01,2026-02-16,2026-02-18
2026-02-16,2025,Support to WFP/UNHRD 2025-2026 - WFP/UNHRD Contribution 2025-2026,312500,"Switzerland, Government of",Governments,CHE,2026,2026,,,,World Food Programme,Multilateral Organizations,Food Security,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-01-01,,250000,CHF,0.8,377678,7F-08676.10.01,2026-02-16,2026-02-18
2026-02-16,2026,"JPOs4UN Programme - Volées 2026-2031 - JPO 2, Org, Function, Place 2026-2029",200000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,World Food Programme,Multilateral Organizations,Food Security,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,160000,CHF,0.8,377679,7F-01035.12.02,2026-02-16,2026-02-17
2026-02-16,2023,WFP Protection & AAP Strategy 2023-2025 - WFP PAAP Strategy 2023-25 - Evaluation,50000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,World Food Programme,Multilateral Organizations,Protection,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2023-01-01,,40000,CHF,0.8,377680,7F-05442.10.02,2026-02-16,2026-02-18
2026-02-16,2023,Contribution to the implementation of WFP 2021-2025 Protection and Accountability to Affected Populations Policy (PAAP) - WFP PAAP Strategy 2023-25 - Contribution,25000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,World Food Programme,Multilateral Organizations,Protection,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2023-01-01,,20000,CHF,0.8,377681,7F-05442.10.01,2026-02-16,2026-02-18
2026-02-16,2025,HERE-Geneva Annual Contribution 2025-26,125000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Private (individuals & organizations),Private Organizations,,,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-01-01,,100000,CHF,0.8,377705,7F-09135.08.01,2026-02-16,2026-02-18
2026-02-16,2024,Free budget flexible/small action H-Cash - small action credit - Free budget flexible/small action H-Cash,1178500,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Private (individuals & organizations),Private Organizations,Other,,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),outgoing,single,commitment,2026-02-11,2024-03-05,,942800,CHF,0.8,377720,7F-11299.01.50,2026-02-16,2026-02-18
2026-02-16,2024,"Amelioration protection population 1 - Coordination des actions VBG,Sud& ZMP",142206,"Switzerland, Government of",Governments,CHE,2026,2026,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,United Nations Population Fund,Multilateral Organizations,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-02-01,,113765,CHF,0.800001,377775,7F-11250.01.05,2026-02-16,2026-02-18
2026-02-16,2024,"Programme d'Appui à la Promotion et à la - PROMES II, Contribution PAM",1250000,"Switzerland, Government of",Governments,CHE,2026,2026,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,World Food Programme,Multilateral Organizations,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-08-01,,1000000,CHF,0.8,377782,7F-10322.02.01,2026-02-16,2026-02-16
2026-02-16,2024,INSO Support humanitari. actors security - HT:INSO_Contribution a INSO,118750,"Switzerland, Government of",Governments,CHE,2026,2026,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,International NGOs (Confidential),NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-08-12,,95000,CHF,0.8,377785,7F-11431.01.01,2026-02-16,2026-02-16
2026-02-16,2024,Amelioration protection population 1 - Partenaire VBG,354166,"Switzerland, Government of",Governments,CHE,2026,2026,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,International NGOs (Confidential),NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-02-01,,283333,CHF,0.800001,377789,7F-11250.01.04,2026-02-16,2026-02-16
2026-02-16,2024,Amelioration protection population 1 - Supportonsl'accès desfemmes aux services,294345,"Switzerland, Government of",Governments,CHE,2026,2026,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,International NGOs (Confidential),NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-02-01,,235476,CHF,0.8,377790,7F-11250.01.02,2026-02-16,2026-02-16
2026-02-16,2025,HT: Small-Project Credit Line - HT: Réponse intégrée Urgence-PDI,25000,"Switzerland, Government of",Governments,CHE,2026,2026,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,International NGOs (Confidential),NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),outgoing,single,commitment,2026-02-11,2025-05-15,,20000,CHF,0.8,377791,7F-05289.09.01,2026-02-16,2026-02-16
2026-02-16,2025,HT: Small-Project Credit Line - HT: Assistance aux déplacés Int. à PAP,42892,"Switzerland, Government of",Governments,CHE,2026,2026,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,National NGOs (Confidential),NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),outgoing,single,commitment,2026-02-11,2025-05-15,,34314,CHF,0.800009,377798,7F-05289.09.02,2026-02-16,2026-02-16
2026-02-16,2024,Amelioration protection population 1 - Protectiondes Femmes & Filles auSud d'HT,137674,"Switzerland, Government of",Governments,CHE,2026,2026,,,,"Switzerland, Government of",Governments,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-02-01,,110139,CHF,0.799999,377803,7F-11250.01.03,2026-02-16,2026-02-18
2026-02-16,2023,Haiti Petites actions 2023-2025 - HT: Protection&Prise en charge survivant,5844,"Switzerland, Government of",Governments,CHE,2026,2026,,,,"Switzerland, Government of",Governments,Protection,HTI,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),outgoing,single,commitment,2026-02-11,2023-07-01,,4675,CHF,0.799966,377804,7F-05289.08.08,2026-02-16,2026-02-18
2026-02-16,2025,IRQ Strengthening CP & GBV,875000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,United Nations Children's Fund,Multilateral Organizations,Protection - Child Protection,IRQ,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-09-01,,700000,CHF,0.8,377830,7F-11588.01.01,2026-02-16,2026-02-16
2026-02-16,2025,Jamaica/Kuba SET Typhon Melissa,162248,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Swiss Development Cooperation/Swiss Humanitarian Aid,Governments,Other,JAM,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-10-30,,129798,CHF,0.799998,377836,7F-11656.01.01,2026-02-16,2026-02-18
2026-02-16,2024,JOR IRC Promoting econ. well-being progr - JOR IRC Promoting eco. well-being income,53750,"Switzerland, Government of",Governments,CHE,2026,2026,,,,International Rescue Committee,NGOs,"Protection - Housing, Land and Property",JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-08-01,,43000,CHF,0.8,377840,7F-11462.01.01,2026-02-16,2026-02-16
2026-02-16,2025,JOR NRC Support Jordan INGO Forum - Ph.2,159375,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Norwegian Refugee Council,NGOs,Logistics,JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-01-01,,127500,CHF,0.8,377844,7F-10952.02.01,2026-02-16,2026-02-16
2026-02-16,2023,JOR NRC Safe and Inclusive Schools (SIS) Programme - JOR ? NRC Education SIS programme 2nd Ph,85250,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Norwegian Refugee Council,NGOs,Education,JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2023-02-01,,68200,CHF,0.8,377845,7F-10472.02.01,2026-02-16,2026-02-17
2026-02-16,,JOR TdH Child Protection and Youth Empow,1125000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Terre des Hommes - Lausanne,NGOs,Protection,JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,pledge,2026-02-11,,,900000,CHF,0.8,377852,7F-07868.02.01,2026-02-16,2026-02-16
2026-02-16,2023,JOR Tdh Enhancing Protection and Justice - JOR Tdh Protection & Justic Child Ph1 AC,550000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Terre des Hommes - Lausanne,NGOs,Protection,JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2023-02-01,,440000,CHF,0.8,377853,7F-07868.01.02,2026-02-16,2026-02-16
2026-02-16,2023,Enhancing Protection and Justice for Vulnerable Children and Youth in Jordan - JOR Tdh Protection & Justice Child Ph1,375000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Terre des Hommes - Lausanne,NGOs,Protection,JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2023-02-01,,300000,CHF,0.8,377854,7F-07868.01.01,2026-02-16,2026-02-16
2026-02-16,2025,Middle East Small Grants 2025-28 - JOR - IMC Integrated Mental Health,72500,"Switzerland, Government of",Governments,CHE,2026,2026,,,,International NGOs (Confidential),NGOs,Health,JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-06-01,,58000,CHF,0.8,377870,7F-06833.08.01,2026-02-16,2026-02-16
2026-02-16,2025,JOR NRC Support Jordan INGO Forum - Ph.2 - JOR Exter. Revi. & Strat. Even JIF PH2,62500,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Private (individuals & organizations),Private Organizations,Logistics,JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-01-01,,50000,CHF,0.8,377875,7F-10952.02.02,2026-02-16,2026-02-16
2026-02-16,2025,Middle East Small Grants 2025-28 - JOR - Small-Project Credit Line,250000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Private (individuals & organizations),Private Organizations,Logistics,JOR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-06-01,,200000,CHF,0.8,377876,7F-06833.08.96,2026-02-16,2026-02-16
2026-02-16,2024,HoA: Regional Durable Solutions - KEN: Cleantech Innovation Compet. - KCIC,12500,"Switzerland, Government of",Governments,CHE,2026,2026,,,,National NGOs (Confidential),NGOs,Protection,KEN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-07-01,,10000,CHF,0.8,377896,7F-10331.03.02,2026-02-16,2026-02-17
2026-02-16,2024,HoA: Regional Durable Solutions - KEN: Dadaab Refugees - Inkomoko,930000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Private (individuals & organizations),Private Organizations,Protection,KEN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-07-01,,744000,CHF,0.8,377899,7F-10331.03.01,2026-02-16,2026-02-16
2026-02-16,2023,"JPOs4UN Programme 2023-2028 - UNICEF,ChildProtection,Vientiane 2024-27",106250,"Switzerland, Government of",Governments,CHE,2026,2026,,,,United Nations Children's Fund,Multilateral Organizations,Protection,LAO,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2023-01-01,,85000,CHF,0.8,377905,7F-01035.11.05,2026-02-16,2026-02-17
2026-02-16,2024,LEB DA BWMP Phase III - LEB DA BWMP Phase III- Evaluation,43494,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Private (individuals & organizations),Private Organizations,Water Sanitation Hygiene,LBN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-01-01,,34796,CHF,0.800018,377971,7F-09459.03.03,2026-02-16,2026-02-17
2026-02-16,2024,LEB DA BWMP Phase III - LEB DA BWMP Phase III- Rafik El Khoury,29375,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Private (individuals & organizations),Private Organizations,Water Sanitation Hygiene,LBN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-01-01,,23500,CHF,0.8,377972,7F-09459.03.34,2026-02-16,2026-02-17
2026-02-16,2024,LEB DA BWMP Phase III - LEB DA BWMP Phase III- Cleaning Company,3750,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Private (individuals & organizations),Private Organizations,Water Sanitation Hygiene,LBN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-01-01,,3000,CHF,0.8,377973,7F-09459.03.12,2026-02-16,2026-02-17
2026-02-16,2025,PC Education en situation d?urgence ESU - Contribut° à l'ONG ACTED,4310,"Switzerland, Government of",Governments,CHE,2026,2026,Mali Besoins Humanitaires et Plan de Réponse 2026,HMLI26,1511,International NGOs (Confidential),NGOs,Protection,MLI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-04-01,,3448,CHF,0.8,377985,7F-11440.01.06,2026-02-16,2026-02-16
2026-02-16,2021,PROTECT - Programme de renforcement de l'environnement protecteur au Mali - Contrat AMSS/AH,661780,"Switzerland, Government of",Governments,CHE,2026,2026,,,,International NGOs (Confidential),NGOs,Early Recovery,MLI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2021-03-01,,529424,CHF,0.8,377988,7F-10544.01.56,2026-02-16,2026-02-17
2026-02-16,2025,Projet RIAP - Contribution DIAM SAHEL,102881,"Switzerland, Government of",Governments,CHE,2026,2026,Mali Besoins Humanitaires et Plan de Réponse 2026,HMLI26,1511,National NGOs (Confidential),NGOs,Food Security,MLI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-10-01,,82305,CHF,0.800002,377991,7F-99925.02.53,2026-02-16,2026-02-16
2026-02-16,2025,"PC Education en situation d?urgence ESU - Phase 1, Educat° Urgence 2024-2028",1750000,"Switzerland, Government of",Governments,CHE,2026,2026,Mali Besoins Humanitaires et Plan de Réponse 2026,HMLI26,1511,International NGOs (Confidential),NGOs,Protection,MLI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-04-01,,1400000,CHF,0.8,378002,7F-11440.01.01,2026-02-16,2026-02-16
2026-02-16,2025,Projet Anti Mine - Mali PH2 - Projet Anti Mine Mali PH2,826875,"Switzerland, Government of",Governments,CHE,2026,2026,Mali Besoins Humanitaires et Plan de Réponse 2026,HMLI26,1511,International NGOs (Confidential),NGOs,Protection - Mine Action,MLI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-11-01,,661500,CHF,0.8,378003,7F-99932.02.01,2026-02-16,2026-02-16
2026-02-16,2021,PROTECT - Programme de renforcement de l'environnement protecteur au Mali - Crédit AH CASH/PROTECT,292194,"Switzerland, Government of",Governments,CHE,2026,2026,,,,International NGOs (Confidential),NGOs,Early Recovery,MLI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2021-03-01,,233755,CHF,0.799999,378004,7F-10544.01.53,2026-02-16,2026-02-17
2026-02-16,2025,PC Education en situation d?urgence ESU - Fonds de contingence / réponse d?urgence,75418,"Switzerland, Government of",Governments,CHE,2026,2026,Mali Besoins Humanitaires et Plan de Réponse 2026,HMLI26,1511,International NGOs (Confidential),NGOs,Protection,MLI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-04-01,,60334,CHF,0.799995,378005,7F-11440.01.03,2026-02-16,2026-02-16
2026-02-16,2025,"PC Education en situation d?urgence ESU - Suivi/évaluation, capitalisation, études",31250,"Switzerland, Government of",Governments,CHE,2026,2026,Mali Besoins Humanitaires et Plan de Réponse 2026,HMLI26,1511,International NGOs (Confidential),NGOs,Protection,MLI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-04-01,,25000,CHF,0.8,378006,7F-11440.01.02,2026-02-16,2026-02-16
2026-02-16,2025,Projet RIAP - Contribution CRM,294925,"Switzerland, Government of",Governments,CHE,2026,2026,Mali Besoins Humanitaires et Plan de Réponse 2026,HMLI26,1511,National NGOs (Confidential),NGOs,Food Security,MLI,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-10-01,,235940,CHF,0.8,378017,7F-99925.02.52,2026-02-16,2026-02-16
2026-02-16,2023,Integrating refugees into labor markets,97995,"Switzerland, Government of",Governments,CHE,2026,2026,,,,Helvetas Swiss Intercooperation,NGOs,"Protection - Housing, Land and Property",MDA,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2023-07-01,,78396,CHF,0.8,378021,7F-11181.01.01,2026-02-16,2026-02-18
2026-02-16,2024,Women socio-econom. political equality - Project cost UN Women ? ILO,2500000,"Switzerland, Government of",Governments,CHE,2026,2026,,,,United Nations Development Programme,Multilateral Organizations,"Protection - Housing, Land and Property",MDA,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-07-01,,2000000,CHF,0.8,378025,7F-11266.01.01,2026-02-16,2026-02-18
2026-02-16,2024,"Social Cohesion and Peace, HA UK-24 - Technical expertise",46069,"Switzerland, Government of",Governments,CHE,2026,2026,,,,National NGOs (Confidential),NGOs,Early Recovery,MDA,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-07-15,,36855,CHF,0.799996,378028,7F-11265.01.02,2026-02-16,2026-02-18
2026-02-16,2025,Maroc régions montagneuses action direct - DA Administrativer Aufwand,13750,"Switzerland, Government of",Governments,CHE,2026,2026,,,,National NGOs (Confidential),NGOs,Early Recovery,MAR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-02-01,,11000,CHF,0.8,378044,7F-11507.01.01,2026-02-16,2026-02-16
2026-02-16,2023,"Solidarites International, Nexus Water Supply System - MOZ HA SI Nexus Water Supply System CD",39438,"Switzerland, Government of",Governments,CHE,2026,2026,Mozambique Humanitarian Needs and Response Plan 2026,HMOZ26,1506,International NGOs (Confidential),NGOs,Water Sanitation Hygiene,MOZ,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2023-06-01,,31550,CHF,0.79999,378057,7F-11193.01.01,2026-02-16,2026-02-18
2026-02-16,2024,SERT Swiss Emergency Response Team Moz - SERT expenditures,25000,"Switzerland, Government of",Governments,CHE,2026,2026,Mozambique Humanitarian Needs and Response Plan 2026,HMOZ26,1506,National NGOs (Confidential),NGOs,,MOZ,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-04-16,,20000,CHF,0.8,378059,7F-08960.01.01,2026-02-16,2026-02-18
2026-02-16,2024,SERT Phase 1 - SDC meetings organization - New CA,1562,"Switzerland, Government of",Governments,CHE,2026,2026,Mozambique Humanitarian Needs and Response Plan 2026,HMOZ26,1506,National NGOs (Confidential),NGOs,,MOZ,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2024-04-16,,1250,CHF,0.800256,378060,7F-08960.01.03,2026-02-16,2026-02-18
2026-02-16,2022,"KARIA: Programme d'Appui à un environnement redevable, protecteur et sûr pour les populations affectées par les conflits - KARIA 1 - CONTRIBUTION COOPI",137500,"Switzerland, Government of",Governments,CHE,2026,2026,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,1513,International NGOs (Confidential),NGOs,Protection,NER,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),outgoing,single,commitment,2026-02-11,2022-11-15,,110000,CHF,0.8,378141,7F-10489.01.51,2026-02-16,2026-02-16
2026-02-16,2022,"KARIA: Programme d'Appui à un environnement redevable, protecteur et sûr pour les populations affectées par les conflits - KARIA 1 - CONTRIBUTION DRC",162500,"Switzerland, Government of",Governments,CHE,2026,2026,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,1513,International NGOs (Confidential),NGOs,Protection,NER,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),outgoing,single,commitment,2026-02-11,2022-11-15,,130000,CHF,0.8,378143,7F-10489.01.52,2026-02-16,2026-02-16
2026-02-16,2026,KARIA - PHASE 2 - KARIA - CONSORTIUM DRC-COOPI,1000000,"Switzerland, Government of",Governments,CHE,2026,2026,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,1513,International NGOs (Confidential),NGOs,Protection,NER,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),outgoing,single,commitment,2026-02-11,2026-01-01,,800000,CHF,0.8,378144,7F-10489.02.01,2026-02-16,2026-02-16
2026-02-16,2026,RECOPA MAZIDO - PHASE UNIQUE - RECOPA MAZIDO - CONTRIBUTION AREN,882250,"Switzerland, Government of",Governments,CHE,2026,2026,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,1513,National NGOs (Confidential),NGOs,Food Security,NER,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,705800,CHF,0.8,378149,7F-11524.01.03,2026-02-16,2026-02-16
2026-02-16,2026,RECOPA MAZIDO - PHASE UNIQUE - RECOPA MAZIDO - CONTRIBUTION HEKS,500000,"Switzerland, Government of",Governments,CHE,2026,2026,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,1513,National NGOs (Confidential),NGOs,Food Security,NER,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,400000,CHF,0.8,378150,7F-11524.01.02,2026-02-16,2026-02-16
2026-02-16,2026,RECOPA MAZIDO - PHASE UNIQUE - RECOPA MAZIDO - CONTRIBUTION RBM,340000,"Switzerland, Government of",Governments,CHE,2026,2026,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,1513,National NGOs (Confidential),NGOs,Food Security,NER,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2026-01-01,,272000,CHF,0.8,378151,7F-11524.01.01,2026-02-16,2026-02-16
2026-02-16,2025,DIKO - DIKO - CONTRIBUTION ONG DIKO,843750,"Switzerland, Government of",Governments,CHE,2026,2026,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,1513,National NGOs (Confidential),NGOs,,NER,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-05-15,,675000,CHF,0.8,378162,7F-11436.01.01,2026-02-16,2026-02-16
2026-02-16,2025,DIKO - DIKO - CONTRIBUTION ONG DIKO - CA,332500,"Switzerland, Government of",Governments,CHE,2026,2026,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,1513,National NGOs (Confidential),NGOs,,NER,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-02-11,2025-05-15,,266000,CHF,0.8,378163,7F-11436.01.02,2026-02-16,2026-02-16
